ski_area,state_full,lat,long,website,year_opened,remove
"Ski Campgaw Management, Inc., LLC",New Jersey,41.05927571,-74.19477058,www.Skicampgaw.com,1969,
Ski Cloudcroft,New Mexico,32.95155284,-105.7072131,www.skicloudcroft.net,1963,
Ski Cooper,Colorado,39.36084213,-106.3013806,www.skicooper.com,1942,
Ski Land,Alaska,65.04627007,-147.4094115,www.skilandfairbanks.com,1962,
Ski Plattekill,New York,42.29111868,-74.65325707,www.plattekill.com,1958,
Ski Santa Fe,New Mexico,35.79700238,-105.8023475,www.skisantafe.com,1947,
Ski Sawmill Family Resort,Pennsylvania,41.52425616,-77.2902139,www.skisawmill.com,1969,
Ski Snowstar Winter Sports Park,Illinois,41.42592702,-90.74615344,www.skisnowstar.com,1981,
Ski Sundown,Connecticut,41.88521237,-72.94676297,www.skisundown.com,1969,
Ski Ward Ski Area,Massachusetts,42.30166182,-71.68296071,www.skiward.com,1939,
Sky Tavern,Nevada,39.33738598,-119.8787614,www.skytavern.org,1945,
Sleeping Giant Ski Area,Wyoming,44.49348994,-109.939379,www.skisg.com,1936,
"Sleepy Hollow Sports Park, Inc.",Iowa,41.5898627,-93.5332271,www.shspdm.com,1997,
Smugglers' Notch Resort,Vermont,44.58902591,-72.78993003,www.smuggs.com,1956,
Snow Creek Ski Area,Missouri,39.4679177,-94.97072014,www.skisnowcreek.com,1987,
Snow King Mountain Resort,Wyoming,43.4729605,-110.7559978,www.snowkingmountain.com,1939,
Snow Ridge Resort,New York,43.64044659,-75.42001601,www.snowridge.com,1945,
Snow Schoolers @ Kingvale,California,39.31240348,-120.4465998,www.snowschoolers.com,1950,
Snow Snake Ski & Golf,Michigan,43.95964728,-84.78072576,www.snowsnake.net,1949,
Snow Summit Mountain Resort,California,34.23654129,-116.8892906,www.bigbearmountainresort.com,1952,
Snow Trails,Ohio,40.67332425,-82.5006661,www.snowtrails.com,1961,
Snow Valley Mountain Resort,California,34.22571597,-117.0361985,www.snow-valley.com,1937,
Snowbasin Resort Co.,Utah,41.21680218,-111.8571314,www.snowbasin.com,1940,
Snowbird,Utah,40.58126392,-111.656866,www.snowbird.com,1971,
Snowhaven,Idaho,45.86815336,-116.0892036,http://grangeville.us/snowhaven-ski-and-tubing-hill/,1944,
Snowmass,Colorado,39.21099209,-106.9491819,www.aspensnowmass.com,1967,
Snowshoe,West Virginia,38.41461598,-79.99738428,www.snowshoemtn.com,1974,
Snowy Range Ski & Recreation Area,Wyoming,41.34188231,-106.1833666,www.snowyrangeski.com,1959,
Soda Springs Ski Area,California,39.3207195,-120.3796274,www.skisodasprings.com,1935,
Soldier Mountain Ski Area,Idaho,43.48611917,-114.8292298,www.soldiermountain.com,1947,
Solitude Mountain Ski Area,Utah,40.62045463,-111.5918206,www.solitudemountain.com,1957,
Song Mountain Resort,New York,42.77485187,-76.15837523,www.skicny.com,1961,
Spirit Mountain Recreation Area,Minnesota,46.71887155,-92.21671504,www.spiritmt.com,1974,
Squaw Valley / Alpine Meadows,California,39.19828879,-120.2354207,www.squawalpine.com,1949,
Steamboat Ski & Resort,Colorado,40.4578685,-106.8044525,www.steamboat.com,1963,
Stevens Pass,Washington,47.74582191,-121.0887193,www.stevenspass.com,1937,
